position,index,x_mm,y_mm
pos_1,1,-0.0,0.0
pos_1,2,-0.2630668208823282,9.996539193528472
pos_1,3,-0.5261336417646564,20.25614520793927
pos_1,4,-0.5261336417646564,30.252684401467743
pos_1,5,-1.0522672835293128,40.51229041587854
pos_1,6,-1.5784009252939692,50.508829609407016
pos_1,7,-1.5784009252939692,60.505368802935486
pos_1,8,-1.0522672835293128,69.44964071293464
pos_1,9,3.1568018505879385,61.820702907347126
pos_1,10,7.892004626469846,52.87643099734797
pos_1,11,12.890274223234082,44.19522590823114
pos_1,12,17.62547699911599,34.98788717734965
pos_1,13,22.623746595880224,26.30668208823282
pos_1,14,27.358949371762133,17.099343357351334
pos_1,15,31.568018505879383,8.418138268234502
pos_2,1,-0.0,0.0
pos_2,2,6.0,8.0
pos_2,3,11.5,16.0
pos_2,4,14.0,25.5
pos_2,5,13.25,35.25
pos_2,6,11.5,45.0
pos_2,7,9.75,54.25
pos_2,8,8.5,63.0
pos_2,9,14.0,56.25
pos_2,10,19.75,48.25
pos_2,11,25.5,40.75
pos_2,12,31.0,32.75
pos_2,13,36.25,24.75
pos_2,14,37.75,15.0
pos_2,15,34.5,6.0
