requested_n_ribs,effective_n_ribs,th_front,th_back,xf,zf,phi_ribs,th_ribs,winding_number,area_factor,normed_fx,normed_fz,reward,E_front,E_back
3,3,0.0029586570315949822,0.0041783154099971015,0.16622009513331593,0.00222664028728059,[ 6.03469164 16.13832819  3.48479624],[0.00255412 0.00214864 0.00219963],0.2485059142944985,0.21060411751131214,0.377883413476979,0.15748682075962597,-0.6795066245231637,0.04600325724433176,0.07227491173408705
3,3,0.002076499436220479,0.004687185908579497,0.15880946775545124,0.04559145818567778,[-3.71684195  4.86683739 -9.0657053 ],[0.00270752 0.00272231 0.00277045],0.2441066572488922,0.5951846785447075,0.43003369942202213,0.7806573003047875,-0.48866773491083426,0.016954143936638084,0.1206211822079438
3,3,0.0021681530449754577,0.004643472161105168,0.024987753447064498,0.03642962525314797,[ -6.95003355  39.07960971 -25.62937489],[0.00257447 0.00260783 0.00255669],0.24249798156543964,0.44237043180169494,0.47320444524995986,0.7250088989694394,-0.4330639596476551,0.01592314318969051,0.11314068254852559
3,3,0.0027666179033949806,0.003368474091444439,0.12375823041503409,0.00681603658736929,[ 9.12300193  4.70326362 15.06681854],[0.00233419 0.00225198 0.00209141],0.24888923692228065,0.21971973409086676,0.25898627813624303,0.09966957086847675,-0.6279256782809137,0.03999623243001473,0.04042866407789073
3,3,0.0020849474073225374,0.004232329386926599,0.22803542950826805,0.014478579522884782,[ 2.90011136 10.11321119  8.80531012],[0.00243344 0.00280886 0.00232472],0.24803440021028175,0.49763058251404246,0.29539095046390274,0.17562670051014134,-0.8654292326780857,0.01673677189699273,0.07816973402139
3,3,0.0022799223985659604,0.003689149367259008,0.23244036183405548,0.03405694398453907,[-0.43423198  4.55364046  3.1648912 ],[0.002928   0.00232826 0.00201253],0.24514702919094597,0.2752011683236084,0.21830443720562479,0.2041832002498471,-0.534469434470332,0.02092914253723041,0.05849259661323785
3,3,0.002394467431014836,0.003522297409257265,0.14803839081768944,0.003378728744871884,[20.92534632  9.120764    0.18195787],[0.00240738 0.00263733 0.00213856],0.24852622743749525,0.21600164470405092,0.229016004862441,0.050425857279769226,-0.643118019724218,0.026125105228685754,0.04673920801588497
3,3,0.0021907998793449014,0.004793640174033855,0.14593070843849076,0.034816940100267146,[12.67250802 -7.14751074  3.72041309],[0.00216696 0.00258433 0.00244941],0.2476842980540052,0.33743271003757275,0.4566788505543227,0.3653182977322782,-0.6764775609136224,0.020625931767288306,0.11005605193038015
3,3,0.0021847457315057298,0.004039367597344245,0.015953539563344554,0.04960531087363407,[-18.38897997  40.28706323  31.95349536],[0.00212876 0.00233069 0.0028154 ],0.24147772712391613,0.19885955827892624,0.27349303490633536,0.06261127756723302,-0.6512190427419446,0.01774173215159817,0.07692807371241758
3,3,0.002355496163195675,0.00329925132198446,0.020273375171629082,0.0440635508214311,[ 34.68184575  19.75215029 -24.12418144],[0.00212898 0.00259582 0.00219977],0.23108858547874747,0.10335204868741822,0.24202547310461675,0.33971138457222116,-0.23675472269856124,0.018333788114788557,0.07507564660966082
3,3,0.0020718208463317957,0.003779646439527905,0.21551737087482792,0.04800161224660093,[-0.77873487  4.84604879 -5.28890421],[0.00255282 0.00298863 0.00207982],0.2435886950530864,0.3806945278226182,0.22435942129530212,0.3131468907737776,-0.5354957533972291,0.015315886491486335,0.06639539563824541
3,3,0.0020059396423022227,0.00465700605541922,0.0797449768692502,0.02255641110624307,[ 1.8075793  -9.31487538  6.86145508],[0.00289675 0.00265117 0.0022772 ],0.24755353806263114,0.5821488006987876,0.3947411035441231,0.2582655685120961,-0.9661778737934459,0.015757009395560923,0.10099131078540054
3,3,0.002599105514346476,0.00339840837320327,1.0709747994293253,-0.12719698756815478,[7.79837905 6.79402209 8.61644754],[0.00256381 0.00293505 0.00205679],0.24551736506314645,0.2125262509146044,0.2206593015697341,0.09287787396587024,-0.5858250435816147,0.03157750434631724,0.04289381192020233
3,3,0.002560498695191993,0.004755236410462885,0.010937264634528487,0.02690514411386724,[45.2651604  29.65832533 -9.43237841],[0.00282473 0.00264988 0.00214843],0.25436254197544017,0.49309207503460145,0.5754829493544411,0.20977910755666587,-1.1131584588078167,0.03208883203034333,0.09843479886459836
3,3,0.0028025382113367283,0.004723111146942419,0.14969677224834976,-0.05071065400998309,[37.73804873 30.71860908 27.80249832],[0.0029324  0.00280289 0.00248499],0.25489229377689543,0.44483211736106093,0.5944809117970474,0.2709749943041719,-1.023230328630832,0.04210366139308644,0.08401653159195822
3,3,0.0024895150758445232,0.004395834288075947,0.24464021665763092,0.006373725413101772,[ 6.75864037 -0.71008135  2.8141171 ],[0.00270384 0.00252109 0.00239418],0.24615996081018296,0.21901979975157723,0.3426575580261719,0.14779053135411657,-0.6600467872338156,0.026937378101657396,0.08557321244820926
3,3,0.0026153305910786395,0.0038746297752233145,0.08183686050632255,0.0390450534476785,[-10.82640147   6.85869076  10.83155431],[0.00205487 0.00243647 0.00232954],0.24552502375450708,0.20751682934391766,0.31381024723090645,0.4490563151185648,-0.31779578521076635,0.031128480133820986,0.07047256944159418
3,3,0.002048341159154802,0.0044906074623482966,0.07269716778370039,0.02745816146097435,[14.47620881 23.12647473  9.74898036],[0.00225687 0.00274713 0.00234977],0.24911668151795874,0.3352728538718917,0.34509847006848315,0.014132208378901145,-0.9153557970794325,0.01612006299816409,0.08564652049495418
3,3,0.002083456821739043,0.0030616085980173487,0.040016512864778586,0.016040962038450512,[ 2.79339992 21.67737393  7.21952994],[0.00275881 0.00262617 0.00247608],0.2537934236805397,0.5583977327449331,0.21418514336229766,0.09214285805218833,-0.9342334417355822,0.019507346422971854,0.03231261551681068
3,3,0.0020820848784497293,0.003898918098447567,0.020273375171629082,0.0440635508214311,[35.7616491  19.75215029 42.34142439],[0.00212898 0.00206484 0.00239333],0.2510399006748279,0.2575637847991375,0.2727861488656268,0.002859188669548751,-0.7785306456700435,0.01800692825026971,0.059789311594158664
3,3,0.0029282599751418448,0.0033300445455954003,0.01937978624903114,0.04538651721207976,[ 30.92524435  14.72021799 -34.98277307],[0.00279713 0.00234794 0.00263535],0.24438492853166519,0.3020405100654446,0.3812164311973681,0.46006611933919217,-0.46757575045528577,0.040828771566190476,0.04613690339116184
